행정구역,2024년_거주자 인구수,2024년_세대수,2024년_세대당 인구,2024년_남자 인구수,2024년_여자 인구수,2024년_남여 비율
서울특별시 서울특별시 은평구 (1138000000),"457,957","213,255",2.15,"216,808","241,149",0.9
서울특별시 은평구 녹번동(1138051000),"35,289","17,282",2.04,"16,444","18,845",0.87
서울특별시 은평구 불광제1동(1138052000),"37,052","17,814",2.08,"17,360","19,692",0.88
서울특별시 은평구 불광제2동(1138053000),"26,368","13,993",1.88,"12,659","13,709",0.92
서울특별시 은평구 갈현제1동(1138055100),"14,012","7,070",1.98,"6,733","7,279",0.92
서울특별시 은평구 갈현제2동(1138055200),"27,139","12,642",2.15,"12,772","14,367",0.89
서울특별시 은평구 구산동(1138056000),"30,869","13,381",2.31,"14,954","15,915",0.94
서울특별시 은평구 대조동(1138057000),"27,059","15,383",1.76,"12,451","14,608",0.85
서울특별시 은평구 응암제1동(1138058000),"31,965","14,908",2.14,"14,868","17,097",0.87
서울특별시 은평구 응암제2동(1138059000),"26,966","10,873",2.48,"13,007","13,959",0.93
서울특별시 은평구 응암제3동(1138060000),"23,035","12,444",1.85,"11,109","11,926",0.93
서울특별시 은평구 역촌동(1138062500),"43,684","20,683",2.11,"20,457","23,227",0.88
서울특별시 은평구 신사제1동(1138063100),"25,891","11,886",2.18,"12,355","13,536",0.91
서울특별시 은평구 신사제2동(1138063200),"18,620","8,621",2.16,"9,190","9,430",0.97
서울특별시 은평구 증산동(1138064000),"15,746","6,782",2.32,"7,618","8,128",0.94
서울특별시 은평구 수색동(1138065000),"21,048","8,470",2.49,"10,151","10,897",0.93
서울특별시 은평구 진관동(1138069000),"53,214","21,023",2.53,"24,680","28,534",0.86
